Date,tmax
1995-11-01,46.06666666666667
1995-12-01,34.45161290322581
1996-01-01,35.58064516129032
1996-02-01,38.62068965517241
1996-03-01,45.32258064516129
1996-04-01,62.9
1996-05-01,69.74193548387096
1996-06-01,82.8
1996-07-01,79.19354838709677
1996-08-01,81.61290322580645
1996-09-01,71.86666666666666
1996-10-01,61.83870967741935
1996-11-01,43.3
1996-12-01,43.87096774193548
1997-01-01,36.806451612903224
1997-02-01,43.32142857142857
1997-03-01,50.03225806451613
1997-04-01,57.96666666666667
1997-05-01,64.58064516129032
1997-06-01,78.16666666666667
1997-07-01,82.29032258064517
1997-08-01,77.70967741935483
1997-09-01,71.83333333333333
1997-10-01,63.38709677419355
1997-11-01,44.93333333333333
1997-12-01,39.03225806451613
1998-01-01,43.29032258064516
